Designator,Mid X,Mid Y,Rotation,Layer
A1,34.9504,-156.7688,0.0,top
A2,34.9504,-133.5532,0.0,top
A3,34.9504,-109.9312,0.0,top
C1,97.9424,-180.4416,90.0,top
C2,100.076,-178.0032,90.0,top
C7,28.6004,-131.826,90.0,top
C8,28.448,-155.9052,90.0,top
C9,28.8036,-178.5112,90.0,top
D1,89.408,-184.658,0.0,top
D2,81.4324,-130.556,0.0,top
D3,60.5028,-184.8104,180.0,top
D4,99.6045,-184.7596,0.0,top
J1,77.8764,-181.4068,0.0,top
J10,28.6004,-115.0258,270.0,top
J11,119.0752,-111.9124,0.0,top
J12,119.2276,-136.812,270.0,top
J13,119.2276,-139.4028,270.0,top
J14,119.2276,-141.9428,270.0,top
J15,114.1476,-172.1612,180.0,top
J16,49.3218,-182.2704,90.0,top
J17,49.3218,-179.07,90.0,top
J18,72.136,-106.7816,0.0,top
J19,119.2276,-147.0228,270.0,top
J2,28.6004,-161.9434,270.0,top
J20,119.2276,-152.052,270.0,top
J21,119.2276,-149.512,270.0,top
J22,111.6584,-106.0196,45.0,top
J23,117.5004,-119.3184,270.0,top
J3,119.2276,-134.272,270.0,top
J4,28.6004,-138.684,270.0,top
J5,69.1388,-131.6736,270.0,top
J6,66.1416,-181.356,0.0,top
J7,76.2,-116.6368,270.0,top
J8,69.2404,-116.6368,270.0,top
J9,83.0072,-116.6368,270.0,top
R1,80.4672,-110.744,180.0,top
R2,82.6516,-108.4072,180.0,top
R3,93.9292,-183.0324,270.0,top
R4,56.4388,-183.1848,90.0,top
R5,104.6337,-184.7596,180.0,top
SW3,58.5724,-148.8948,180.0,top
SW4,58.6232,-172.0088,180.0,top
SW5,58.5724,-125.1712,180.0,top
Tir.1,80.3148,-139.3952,0.0,top
U1,105.7148,-179.2224,0.0,top
U2,87.7316,-111.4044,0.0,top
